alpha,beta,auc,model_label,model_name
0.0,1.0,0.0,ESM2-150M,facebook/esm2_t30_150M_UR50D
0.05,0.95,0.0,ESM2-150M,facebook/esm2_t30_150M_UR50D
0.1,0.9,0.0,ESM2-150M,facebook/esm2_t30_150M_UR50D
0.15,0.85,0.0,ESM2-150M,facebook/esm2_t30_150M_UR50D
0.2,0.8,0.0,ESM2-150M,facebook/esm2_t30_150M_UR50D
0.25,0.75,0.0,ESM2-150M,facebook/esm2_t30_150M_UR50D
0.3,0.7,0.0,ESM2-150M,facebook/esm2_t30_150M_UR50D
0.35,0.65,0.0,ESM2-150M,facebook/esm2_t30_150M_UR50D
0.4,0.6,0.08,ESM2-150M,facebook/esm2_t30_150M_UR50D
0.45,0.55,0.16,ESM2-150M,facebook/esm2_t30_150M_UR50D
0.5,0.5,0.2,ESM2-150M,facebook/esm2_t30_150M_UR50D
0.55,0.44999999999999996,0.4,ESM2-150M,facebook/esm2_t30_150M_UR50D
0.6,0.4,0.48,ESM2-150M,facebook/esm2_t30_150M_UR50D
0.65,0.35,0.52,ESM2-150M,facebook/esm2_t30_150M_UR50D
0.7,0.30000000000000004,0.6,ESM2-150M,facebook/esm2_t30_150M_UR50D
0.75,0.25,0.64,ESM2-150M,facebook/esm2_t30_150M_UR50D
0.8,0.19999999999999996,0.72,ESM2-150M,facebook/esm2_t30_150M_UR50D
0.85,0.15000000000000002,0.8,ESM2-150M,facebook/esm2_t30_150M_UR50D
0.9,0.09999999999999998,0.88,ESM2-150M,facebook/esm2_t30_150M_UR50D
0.95,0.050000000000000044,0.92,ESM2-150M,facebook/esm2_t30_150M_UR50D
1.0,0.0,1.0,ESM2-150M,facebook/esm2_t30_150M_UR50D
0.0,1.0,0.04,ESM2-650M,facebook/esm2_t33_650M_UR50D
0.05,0.95,0.04,ESM2-650M,facebook/esm2_t33_650M_UR50D
0.1,0.9,0.04,ESM2-650M,facebook/esm2_t33_650M_UR50D
0.15,0.85,0.04,ESM2-650M,facebook/esm2_t33_650M_UR50D
0.2,0.8,0.04,ESM2-650M,facebook/esm2_t33_650M_UR50D
0.25,0.75,0.04,ESM2-650M,facebook/esm2_t33_650M_UR50D
0.3,0.7,0.04,ESM2-650M,facebook/esm2_t33_650M_UR50D
0.35,0.65,0.04,ESM2-650M,facebook/esm2_t33_650M_UR50D
0.4,0.6,0.12,ESM2-650M,facebook/esm2_t33_650M_UR50D
0.45,0.55,0.16,ESM2-650M,facebook/esm2_t33_650M_UR50D
0.5,0.5,0.28,ESM2-650M,facebook/esm2_t33_650M_UR50D
0.55,0.44999999999999996,0.4,ESM2-650M,facebook/esm2_t33_650M_UR50D
0.6,0.4,0.4,ESM2-650M,facebook/esm2_t33_650M_UR50D
0.65,0.35,0.4,ESM2-650M,facebook/esm2_t33_650M_UR50D
0.7,0.30000000000000004,0.44,ESM2-650M,facebook/esm2_t33_650M_UR50D
0.75,0.25,0.44,ESM2-650M,facebook/esm2_t33_650M_UR50D
0.8,0.19999999999999996,0.52,ESM2-650M,facebook/esm2_t33_650M_UR50D
0.85,0.15000000000000002,0.6,ESM2-650M,facebook/esm2_t33_650M_UR50D
0.9,0.09999999999999998,0.6,ESM2-650M,facebook/esm2_t33_650M_UR50D
0.95,0.050000000000000044,0.68,ESM2-650M,facebook/esm2_t33_650M_UR50D
1.0,0.0,0.68,ESM2-650M,facebook/esm2_t33_650M_UR50D
0.0,1.0,0.0,ESM-1v,facebook/esm1v_t33_650M_UR90S_1
0.05,0.95,0.0,ESM-1v,facebook/esm1v_t33_650M_UR90S_1
0.1,0.9,0.0,ESM-1v,facebook/esm1v_t33_650M_UR90S_1
0.15,0.85,0.0,ESM-1v,facebook/esm1v_t33_650M_UR90S_1
0.2,0.8,0.0,ESM-1v,facebook/esm1v_t33_650M_UR90S_1
0.25,0.75,0.0,ESM-1v,facebook/esm1v_t33_650M_UR90S_1
0.3,0.7,0.0,ESM-1v,facebook/esm1v_t33_650M_UR90S_1
0.35,0.65,0.0,ESM-1v,facebook/esm1v_t33_650M_UR90S_1
0.4,0.6,0.0,ESM-1v,facebook/esm1v_t33_650M_UR90S_1
0.45,0.55,0.0,ESM-1v,facebook/esm1v_t33_650M_UR90S_1
0.5,0.5,0.0,ESM-1v,facebook/esm1v_t33_650M_UR90S_1
0.55,0.44999999999999996,0.0,ESM-1v,facebook/esm1v_t33_650M_UR90S_1
0.6,0.4,0.0,ESM-1v,facebook/esm1v_t33_650M_UR90S_1
0.65,0.35,0.08,ESM-1v,facebook/esm1v_t33_650M_UR90S_1
0.7,0.30000000000000004,0.08,ESM-1v,facebook/esm1v_t33_650M_UR90S_1
0.75,0.25,0.16,ESM-1v,facebook/esm1v_t33_650M_UR90S_1
0.8,0.19999999999999996,0.2,ESM-1v,facebook/esm1v_t33_650M_UR90S_1
0.85,0.15000000000000002,0.2,ESM-1v,facebook/esm1v_t33_650M_UR90S_1
0.9,0.09999999999999998,0.2,ESM-1v,facebook/esm1v_t33_650M_UR90S_1
0.95,0.050000000000000044,0.2,ESM-1v,facebook/esm1v_t33_650M_UR90S_1
1.0,0.0,0.28,ESM-1v,facebook/esm1v_t33_650M_UR90S_1
0.0,1.0,0.24,ProtT5,Rostlab/prot_t5_xl_half_uniref50-enc
0.05,0.95,0.24,ProtT5,Rostlab/prot_t5_xl_half_uniref50-enc
0.1,0.9,0.24,ProtT5,Rostlab/prot_t5_xl_half_uniref50-enc
0.15,0.85,0.28,ProtT5,Rostlab/prot_t5_xl_half_uniref50-enc
0.2,0.8,0.32,ProtT5,Rostlab/prot_t5_xl_half_uniref50-enc
0.25,0.75,0.32,ProtT5,Rostlab/prot_t5_xl_half_uniref50-enc
0.3,0.7,0.36,ProtT5,Rostlab/prot_t5_xl_half_uniref50-enc
0.35,0.65,0.32,ProtT5,Rostlab/prot_t5_xl_half_uniref50-enc
0.4,0.6,0.28,ProtT5,Rostlab/prot_t5_xl_half_uniref50-enc
0.45,0.55,0.32,ProtT5,Rostlab/prot_t5_xl_half_uniref50-enc
0.5,0.5,0.32,ProtT5,Rostlab/prot_t5_xl_half_uniref50-enc
0.55,0.44999999999999996,0.32,ProtT5,Rostlab/prot_t5_xl_half_uniref50-enc
0.6,0.4,0.32,ProtT5,Rostlab/prot_t5_xl_half_uniref50-enc
0.65,0.35,0.32,ProtT5,Rostlab/prot_t5_xl_half_uniref50-enc
0.7,0.30000000000000004,0.36,ProtT5,Rostlab/prot_t5_xl_half_uniref50-enc
0.75,0.25,0.36,ProtT5,Rostlab/prot_t5_xl_half_uniref50-enc
0.8,0.19999999999999996,0.4,ProtT5,Rostlab/prot_t5_xl_half_uniref50-enc
0.85,0.15000000000000002,0.4,ProtT5,Rostlab/prot_t5_xl_half_uniref50-enc
0.9,0.09999999999999998,0.4,ProtT5,Rostlab/prot_t5_xl_half_uniref50-enc
0.95,0.050000000000000044,0.4,ProtT5,Rostlab/prot_t5_xl_half_uniref50-enc
1.0,0.0,0.4,ProtT5,Rostlab/prot_t5_xl_half_uniref50-enc
