model_label,family_label,architecture_kind,slice_name,n_rows,auc_pair_fixed_055,delta_pair_vs_ll,selected_rule_enrichment_gap,selected_rule_on_fraction
ESM2-35M,esm,masked_encoder,full_tp53,255,0.4408074534161491,0.03074534161490683,0.46184738955823296,0.9764705882352941
ESM2-35M,esm,masked_encoder,leave_hotspot_out,249,0.4432693563128346,0.02657004830917875,0.4567901234567901,0.9759036144578314
ESM2-35M,esm,masked_encoder,dna_binding_only,145,0.41404468764249885,0.027815777473780223,,1.0
ESM2-35M,esm,masked_encoder,leave_dna_binding_out,110,0.5519429024583664,0.07375099127676449,0.125,0.9454545454545454
ESM2-150M,esm,masked_encoder,full_tp53,255,0.7369565217391304,0.1379503105590062,0.3190376569037657,0.06274509803921569
ESM2-150M,esm,masked_encoder,leave_hotspot_out,249,0.7407625016320668,0.145123384253819,0.3251072961373391,0.0642570281124498
ESM2-150M,esm,masked_encoder,dna_binding_only,145,0.6892384860921112,0.1101231190150479,0.10769230769230775,0.10344827586206896
ESM2-150M,esm,masked_encoder,leave_dna_binding_out,110,0.6954797779540047,0.16415543219666928,-0.11926605504587157,0.00909090909090909
ESM2-650M,esm,masked_encoder,full_tp53,255,0.6745962732919255,0.0940993788819876,0.20302311796087735,0.054901960784313725
ESM2-650M,esm,masked_encoder,leave_hotspot_out,249,0.6731949340644993,0.09929494712103404,0.17894393741851372,0.05220883534136546
ESM2-650M,esm,masked_encoder,dna_binding_only,145,0.6557227542179662,0.09940720474236198,0.10370370370370374,0.06896551724137931
ESM2-650M,esm,masked_encoder,leave_dna_binding_out,110,0.48691514670896113,0.01665344964314036,0.13679245283018868,0.03636363636363636
ESM2-3B,esm,masked_encoder,full_tp53,255,0.8369565217391305,0.10180124223602494,0.45454545454545453,0.9921568627450981
ESM2-3B,esm,masked_encoder,leave_hotspot_out,249,0.8397310353832093,0.09890325107716413,0.4493927125506073,0.9919678714859438
ESM2-3B,esm,masked_encoder,dna_binding_only,145,0.8176014591883265,0.09097127222982215,0.7132867132867133,0.9862068965517241
ESM2-3B,esm,masked_encoder,leave_dna_binding_out,110,0.7287866772402855,0.16019032513877873,,1.0
ESM-1v,esm_variant_specialist,masked_encoder,full_tp53,255,0.8073291925465839,0.12478260869565216,0.45454545454545453,0.9921568627450981
ESM-1v,esm_variant_specialist,masked_encoder,leave_hotspot_out,249,0.811855333594464,0.12247029638333984,0.4493927125506073,0.9919678714859438
ESM-1v,esm_variant_specialist,masked_encoder,dna_binding_only,145,0.7099863201094391,0.10670314637482892,,1.0
ESM-1v,esm_variant_specialist,masked_encoder,leave_dna_binding_out,110,0.8041237113402062,0.15463917525773196,0.12037037037037036,0.9818181818181818
ProtT5,prottrans,encoder_decoder,full_tp53,255,0.4046583850931677,0.0016149068322981464,0.2041832669322709,0.984313725490196
ProtT5,prottrans,encoder_decoder,leave_hotspot_out,249,0.40220655438046743,0.005222613918266117,0.11382113821138212,0.9879518072289156
ProtT5,prottrans,encoder_decoder,dna_binding_only,145,0.5316917464660282,0.027815777473780168,0.4663120567375887,0.9724137931034482
ProtT5,prottrans,encoder_decoder,leave_dna_binding_out,110,0.7026169706582077,0.04996034892942103,,1.0
ProtBERT,bert_style,bidirectional_encoder,full_tp53,255,0.4953416149068323,0.04062111801242235,0.08607721878656194,0.24313725490196078
ProtBERT,bert_style,bidirectional_encoder,leave_hotspot_out,249,0.5063324193758977,0.042237890063977046,0.05994647636039252,0.23694779116465864
ProtBERT,bert_style,bidirectional_encoder,dna_binding_only,145,0.5389876880984952,0.061559507523939794,0.00959173635022137,0.2620689655172414
ProtBERT,bert_style,bidirectional_encoder,leave_dna_binding_out,110,0.8588421887390959,-0.015067406819984197,0.11531007751937986,0.21818181818181817
ProtBERT-BFD,bert_style,bidirectional_encoder,full_tp53,255,0.47285714285714286,0.012236024844720528,0.4637096774193548,0.9725490196078431
ProtBERT-BFD,bert_style,bidirectional_encoder,leave_hotspot_out,249,0.491186839012926,0.014884449667058375,0.45867768595041325,0.9718875502008032
ProtBERT-BFD,bert_style,bidirectional_encoder,dna_binding_only,145,0.42954856361149113,0.012995896032831744,0.7083333333333334,0.993103448275862
ProtBERT-BFD,bert_style,bidirectional_encoder,leave_dna_binding_out,110,0.6685170499603489,0.09199048374306107,0.125,0.9454545454545454
ProGen2-small,progen,causal_decoder,full_tp53,255,0.8020496894409938,0.07826086956521738,0.5125,0.058823529411764705
ProGen2-small,progen,causal_decoder,leave_hotspot_out,249,0.8001697349523437,0.07729468599033817,0.511550151975684,0.05622489959839357
ProGen2-small,progen,causal_decoder,dna_binding_only,145,0.7127222982216143,0.1094391244870041,0.2564102564102564,0.10344827586206896
ProGen2-small,progen,causal_decoder,leave_dna_binding_out,110,0.6367961934972244,0.03409992069785883,,0.0
ProGen2-base,progen,causal_decoder,full_tp53,255,0.7722360248447205,0.08621118012422369,0.46747967479674796,0.9647058823529412
ProGen2-base,progen,causal_decoder,leave_hotspot_out,249,0.7719023371197284,0.08930669800235025,0.4605809128630705,0.9678714859437751
ProGen2-base,progen,causal_decoder,dna_binding_only,145,0.8007295941632467,0.07774737802097587,0.7132867132867133,0.9862068965517241
ProGen2-base,progen,causal_decoder,leave_dna_binding_out,110,0.7398889770023791,0.18556701030927836,0.1262135922330097,0.9363636363636364
