model_label,family_label,architecture_kind,panel_name,scope_label,panel_size,coverage_target,coverage_pass,rule_family,gate_name,threshold_source,threshold,n_rule_on,fraction_rule_on,enrichment_gap,gap_ci_low,gap_ci_high,odds_ratio,global_scalar_gap,local_scalar_gap,local_pair_baseline_gap,local_chemistry_gap,beats_global_scalar,beats_local_scalar,beats_local_chemistry,same_position_verdict,same_position_n_mixed_positions,same_position_pair_top_hit_rate,same_position_ll_top_hit_rate,same_position_delta,structural_witness_verdict,structural_pair_spearman,structural_ll_spearman,structural_geometry_gap,block12c_status,adjudication_status,adjudication_reason,status_rank,same_position_rank
ESM-1v,esm_variant_specialist,masked_encoder,full_tp53,global,255,13,True,pair_only,exclude_chemistry,pair_minus_ll,0.1,16,0.06274509803921569,0.4524058577405858,0.26036218619246865,0.602510460251046,7.914285714285715,0.5857740585774058,0.5857740585774058,0.3190376569037657,0.08607721878656194,False,False,True,win,11,0.8181818181818182,0.5454545454545454,0.2727272727272728,positive,0.3999999999999999,-0.1999999999999999,,supportive,supportive_residual,positive_gap_without_full_control_dominance,2,0
ESM2-150M,esm,masked_encoder,full_tp53,global,255,13,True,pair_only,exclude_chemistry,pair_minus_ll,0.05,14,0.054901960784313725,0.3541790160047421,0.11076615293420272,0.5560165975103735,4.323308270676692,0.5809128630705394,0.5809128630705394,0.27860106698280973,0.08607721878656194,False,False,True,win,11,0.6363636363636364,0.45454545454545453,0.18181818181818182,negative,-0.3999999999999999,0.3999999999999999,,supportive,supportive_residual,positive_gap_without_full_control_dominance,2,0
ESM2-35M,esm,masked_encoder,full_tp53,global,255,13,False,pair_only,none,pair_minus_ll,0.1,3,0.011764705882352941,0.5555555555555556,0.49603174603174605,0.6150793650793651,8.742222222222223,-0.45634920634920634,-0.45634920634920634,0.5555555555555556,0.08607721878656194,True,True,True,win,11,0.6363636363636364,0.36363636363636365,0.2727272727272727,negative,0.0,0.0,,not_eligible,not_eligible,coverage_or_control_failure,3,0
ESM2-3B,esm,masked_encoder,dna_binding_core,localized,145,12,True,pair_rank_fixed,none,pair_rank_fixed_055,0.55,20,0.13793103448275862,0.344,0.264,0.43200000000000005,21.618181818181817,0.5957446808510638,0.344,0.344,0.00959173635022137,False,False,True,win,2,1.0,0.5,0.5,negative,0.0,0.0,,supportive,supportive_residual,positive_gap_without_full_control_dominance,2,0
ESM2-650M,esm,masked_encoder,full_tp53,global,255,13,True,pair_only,none,pair_minus_ll,0.15,14,0.054901960784313725,0.20302311796087735,-0.04456135151155898,0.4546532305868405,2.197609901835254,0.5809128630705394,0.5809128630705394,0.20302311796087735,0.08607721878656194,False,False,True,win,11,0.8181818181818182,0.45454545454545453,0.3636363636363637,positive,-0.3999999999999999,0.3999999999999999,0.3333333333333333,supportive,supportive_residual,positive_gap_without_full_control_dominance,2,0
ProGen2-base,progen,causal_decoder,dna_binding_core,localized,145,12,True,pair_only,none,pair_minus_ll,0.05,37,0.25517241379310346,0.25300300300300305,0.11636636636636644,0.38038038038038047,4.23101518784972,0.16798909000743867,0.25300300300300305,0.25300300300300305,0.00959173635022137,True,False,True,win,3,1.0,0.6666666666666666,0.33333333333333337,negative,-0.6000000000000001,1.0,,supportive,supportive_residual,positive_gap_without_full_control_dominance,2,0
ProGen2-small,progen,causal_decoder,full_tp53,global,255,13,True,pair_only,none,pair_minus_ll,0.1,15,0.058823529411764705,0.5125,0.3541666666666667,0.625,13.285714285714286,0.4416666666666667,0.4416666666666667,0.5125,0.08607721878656194,True,True,True,tie,11,0.6363636363636364,0.6363636363636364,0.0,positive,1.0,-0.3999999999999999,0.3333333333333333,supportive,supportive_localized,localized_rule_positive_but_not_fully_nuclear,1,1
ProtBERT,bert_style,bidirectional_encoder,full_tp53,global,255,13,True,pair_rank_fixed,none,pair_rank_fixed_055,0.55,14,0.054901960784313725,0.20302311796087735,-0.07439241256668644,0.44230883224659095,2.197609901835254,0.27860106698280973,0.27860106698280973,0.20302311796087735,0.08607721878656194,False,False,True,lose,11,0.6363636363636364,0.9090909090909091,-0.2727272727272727,positive,0.1999999999999999,-0.3999999999999999,,not_eligible,supportive_residual,positive_gap_without_full_control_dominance,2,3
ProtBERT-BFD,bert_style,bidirectional_encoder,dna_binding_core,localized,145,12,False,pair_rank_fixed,none,pair_rank_fixed_055,0.55,2,0.013793103448275862,-0.20629370629370625,-0.7552447552447552,0.3426573426573427,0.4187192118226601,0.04940711462450592,-0.20629370629370625,-0.20629370629370625,0.00959173635022137,False,False,False,tie,1,1.0,1.0,0.0,negative,-1.0,0.7999999999999999,,not_eligible,not_eligible,coverage_or_control_failure,3,1
ProtT5,prottrans,encoder_decoder,full_tp53,global,255,13,True,pair_rank_fixed,none,pair_rank_fixed_055,0.65,16,0.06274509803921569,0.11898535564853557,-0.12265298117154814,0.3689853556485356,1.587793427230047,0.18566945606694563,0.18566945606694563,0.11898535564853557,0.08607721878656194,False,False,True,lose,11,0.5454545454545454,0.7272727272727273,-0.18181818181818188,positive,-0.1999999999999999,-0.7999999999999999,,not_eligible,supportive_residual,positive_gap_without_full_control_dominance,2,3
