model_label,family_label,architecture_kind,chemistry_only,pair_only,random_coverage_matched_mean,scalar_top_n_matched,selected_rule,beats_all_controls,control_win
ESM-1v,esm_variant_specialist,masked_encoder,0.0860772187865619,0.2296440261865794,0.0173666007905138,0.4545454545454545,0.4545454545454545,False,False
ESM2-150M,esm,masked_encoder,0.0860772187865619,0.3190376569037657,-0.0007126046025104,0.5190899581589958,0.3190376569037657,False,False
ESM2-35M,esm,masked_encoder,0.0860772187865619,0.2235772357723576,-0.0024096385542168,0.4618473895582329,0.4618473895582329,False,False
ESM2-3B,esm,masked_encoder,0.0860772187865619,0.3051948051948052,-0.0204298418972331,0.4545454545454545,0.4545454545454545,False,False
ESM2-650M,esm,masked_encoder,0.0860772187865619,0.2030231179608773,-0.0085951393005334,0.5809128630705394,0.2030231179608773,False,False
ProGen2-base,progen,causal_decoder,0.0860772187865619,0.2602564102564103,0.0059112466124661,0.4674796747967479,0.4674796747967479,False,False
ProGen2-small,progen,causal_decoder,0.0860772187865619,0.5125,0.0168437499999999,0.4416666666666667,0.5125,False,False
ProtBERT,bert_style,bidirectional_encoder,0.0860772187865619,-0.452755905511811,0.0016881163296005,0.1073875981948854,0.0860772187865619,False,False
ProtBERT-BFD,bert_style,bidirectional_encoder,0.0860772187865619,-0.452755905511811,0.0068836405529953,0.4637096774193548,0.4637096774193548,False,False
ProtT5,prottrans,encoder_decoder,0.0860772187865619,-0.0323371989295272,0.0187749003984063,0.2041832669322709,0.2041832669322709,False,False
