gene,model_name,model_label,family_label,baseline_label,auc_baseline,auc_covariance,auc_pair_fixed_055,delta_pair_vs_baseline,source,n_total,n_positive,n_negative
BRCA1,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.8527464850231421,0.6708759060344075,0.8282944720985067,-0.0244520129246353,frozen_reject_recovery_multigene,512,165,347
BRCA1,facebook/esm2_t12_35M_UR50D,ESM2-35M (live),ESM2,ll_proper,0.8204174307920705,0.807230809536285,0.8436468430704742,0.023229412278403694,live_esm2_35m,512,165,347
BRCA2,facebook/esm1v_ensemble,ESM-1v ensemble (frozen),ESM1v,esm1v_mean,0.6323835125448029,,0.6889784946236559,0.056594982078853,frozen_block1_esm1v,658,100,558
BRCA2,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.6938351254480287,0.7094623655913979,0.7445519713261649,0.0507168458781361,frozen_reject_recovery_multigene,658,100,558
BRCA2,facebook/esm2_t12_35M_UR50D,ESM2-35M (live),ESM2,ll_proper,0.62668458781362,0.7632078853046596,0.7181541218637992,0.09146953405017921,live_esm2_35m,658,100,558
MSH2,facebook/esm1v_ensemble,ESM-1v ensemble (frozen),ESM1v,esm1v_mean,0.9232531841447448,,0.8457028925127961,-0.0775502916319486,frozen_block1_esm1v,395,124,271
MSH2,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.7463397214617308,0.6120997500297584,0.7491370074991073,0.0027972860373765,frozen_reject_recovery_multigene,395,124,271
MSH2,facebook/esm2_t12_35M_UR50D,ESM2-35M (live),ESM2,ll_proper,0.6924175693369837,0.7831805737412213,0.8048149029877395,0.11239733365075577,live_esm2_35m,395,124,271
TP53,facebook/esm1v_ensemble,ESM-1v ensemble (frozen),ESM1v,esm1v_mean,0.9465838509316772,,0.930496894409938,-0.0160869565217391,frozen_block1_esm1v,255,115,140
TP53,facebook/esm2_t30_150M_UR50D,ESM2-150M (frozen),ESM2,ll_proper,0.5955900621118012,0.6209316770186335,0.749751552795031,0.1541614906832298,frozen_reject_recovery_multigene,255,115,140
TP53,facebook/esm2_t12_35M_UR50D,ESM2-35M (live),ESM2,ll_proper,0.41006211180124225,0.48795031055900623,0.4408074534161491,0.03074534161490683,live_esm2_35m,255,115,140
